LISTINO METEL       ARN052783904882/20132013030120130701LISTINO PREZZI ARNOCANALI                                            020                                                 
ARNAKP72.3         8018138148091Adattatore x canali KP BIANCO PURO         00004000040000499999940000000054000000000540000001EURPCE0320130301                  17                
ARNAL6.M5.1        8018138158830Laccio tirante d6 M5                       00001000010000199999940000000055000000000550000001EURPCE0320130301                  87                
ARNAL6.M5.3        8018138158847Triplo laccio tirante d6 M5                00001000010000199999940000000065000000000650000001EURPCE0320130301                  87                
ARNALUB            8018138168075Lubrificante al silicone 400 ml            00020000200002099999940000000070000000000700000001EURPCE0320130301                  80                
ARNAM45.007MAX     8018138189766Sonda poliestere 3 fili d4,5 L7m           00010000100001099999940000000960000000009600000001EURPCE0320130301                  87                
ARNAM45.010        8018138188776Sonda poliestere MONOFILO d4,2 L10m        00010000100001099999940000000800000000008000000001EURPCE0320130301                  87                
ARNAM45.014MAX     8018138189773Sonda poliestere 3 fili d4,5 L14m          00010000080000899999940000001090000000010900000001EURPCE0320130701                  87                
ARNAM45.015        8018138188783Sonda poliestere MONOFILO d4,2 L15m        00008000080000899999940000001050000000010500000001EURPCE0320130301                  87                
ARNAM45.020        8018138188790Sonda poliestere MONOFILO d4,2 L20m        00006000060000699999940000001320000000013200000001EURPCE0320130301                  87                
ARNAM45.021MAX     8018138189780Sonda poliestere 3 fili d4,5 L21m          00008000080000899999940000001350000000013500000001EURPCE0320130301                  87                
ARNAM45.025        8018138188806Sonda poliestere MONOFILO d4,2 L25m        00008000010000199999940000001600000000016000000001EURPCE0320130301                  87                
ARNAM45.030        8018138188813Sonda poliestere MONOFILO d4,2 L30m        00006000010000199999940000001900000000019000000001EURPCE0320130301                  87                
ARNAM6.010         8018138191097Sonda poliestere MONOFILO d6 L10m          00010000010000199999940000000940000000009400000001EURPCE0120130701                  87                
ARNAM6.015         8018138191103Sonda poliestere MONOFILO d6 L15m          00010000010000199999940000001240000000012400000001EURPCE0120130701                  87                
ARNAM6.020         8018138191110Sonda poliestere MONOFILO d6 L20m          00008000010000199999940000001550000000015500000001EURPCE0120130701                  87                
ARNAM6.025         8018138191127Sonda poliestere MONOFILO d6 L25m          00008000010000199999940000001870000000018700000001EURPCE0120130701                  87                
ARNAM6.030         8018138191134Sonda poliestere MONOFILO d6 L30m          00006000010000199999940000002190000000021900000001EURPCE0120130701                  87                
ARNAM6.030C350     8018138191325Sonda poliestere d6 L30m con ASPO          00001000010000199999940000003390000000033900000001EURPCE0120130701                  87                
ARNAM6.040         8018138191141Sonda poliestere MONOFILO d6 L40m          00005000010000199999940000002850000000028500000001EURPCE0120130701                  87                
ARNAM6.040C350     8018138191240Sonda poliestere d6 L40m con ASPO          00001000010000199999940000003940000000039400000001EURPCE0120130701                  87                
ARNAM6.050         8018138191158Sonda poliestere MONOFILO d6 L50m          00005000010000199999940000003500000000035000000001EURPCE0120130701                  87                
ARNAM6.050C350     8018138191257Sonda poliestere d6 L50m con ASPO          00001000010000199999940000004830000000048300000001EURPCE0120130701                  87                
ARNAM6.060         8018138191165Sonda poliestere MONOFILO d6 L60m          00004000010000199999940000004180000000041800000001EURPCE0120130701                  87                
ARNAM6.060C350     8018138191332Sonda poliestere d6 L60m con ASPO          00001000010000199999940000005730000000057300000001EURPCE0120130701                  87                
ARNAN4.005         8018138156164Sonda Nylon d4 intercambiabile 5m          00012000120001299999940000000065500000000655000001EURPCE0320130301                  87                
ARNAN4.007MAX      8018138166125Sonda Nylon d4 L 7m                        00010000100001099999940000000110000000001100000001EURPCE0320130301                  87                
ARNAN4.010         8018138156171Sonda Nylon d4 intercambiabile 10m         00012000120001299999940000000085000000000850000001EURPCE0320130301                  87                
ARNAN4.014MAX      8018138166132Sonda Nylon d4 L 14m                       00010000100001099999940000000135500000001355000001EURPCE0320130301                  87                
ARNAN4.015         8018138156188Sonda Nylon d4 intercambiabile 15m         00010000100001099999940000000109000000001090000001EURPCE0320130301                  87                
ARNAN4.020         8018138156195Sonda Nylon d4 intercambiabile 20m         00008000080000899999940000000137500000001375000001EURPCE0320130301                  87                
ARNAN4.021MAX      8018138166149Sonda Nylon d4 L 21m                       00008000080000899999940000000174000000001740000001EURPCE0320130301                  87                
ARNAN4.025         8018138156201Sonda Nylon d4 intercambiabile 25m         00006000060000699999940000000166000000001660000001EURPCE0320130301                  87                
ARNAN4.030         8018138156218Sonda Nylon d4 intercambiabile 30m         00006000060000699999940000000195000000001950000001EURPCE0320130301                  87                
